H|182789|28-JUN-2017|1196963|DT|P|F
P|H|28-JUN-2017|1|0|ONZN|-4.58
P|R|28-JUN-2017|1|1|MBSI|-4.4
P|R|28-JUN-2017|1|1|MISI|17.22
P|R|28-JUN-2017|1|1|MNSI|11.2
P|R|28-JUN-2017|1|1|NYSI|11.31
P|R|28-JUN-2017|1|1|ONZN|-4.4
P|R|28-JUN-2017|1|1|PQAT|-4.4
P|R|28-JUN-2017|1|1|PQBE|-4.4
P|R|28-JUN-2017|1|1|PQDA|-4.4
P|R|28-JUN-2017|1|1|PQDZ|-4.4
P|R|28-JUN-2017|1|1|PQHA|-4.4
P|R|28-JUN-2017|1|1|PQHZ|-4.4
P|R|28-JUN-2017|1|1|PQPC|-4.4
P|R|28-JUN-2017|1|1|PQQC|-4.4
P|R|28-JUN-2017|1|1|PQSK|-4.4
P|R|28-JUN-2017|1|1|PQXY|-4.4
P|R|28-JUN-2017|1|2|MBSI|-4.6
P|R|28-JUN-2017|1|2|MISI|17.02
P|R|28-JUN-2017|1|2|MNSI|11
P|R|28-JUN-2017|1|2|NYSI|11.11
P|R|28-JUN-2017|1|2|ONZN|-4.6
P|R|28-JUN-2017|1|2|PQAT|-4.6
P|R|28-JUN-2017|1|2|PQBE|-4.6
P|R|28-JUN-2017|1|2|PQDA|-4.6
P|R|28-JUN-2017|1|2|PQDZ|-4.6
P|R|28-JUN-2017|1|2|PQHA|-4.6
P|R|28-JUN-2017|1|2|PQHZ|-4.6
P|R|28-JUN-2017|1|2|PQPC|-4.6
P|R|28-JUN-2017|1|2|PQQC|-4.6
P|R|28-JUN-2017|1|2|PQSK|-4.6
P|R|28-JUN-2017|1|2|PQXY|-4.6
P|R|28-JUN-2017|1|3|MBSI|-4.4
P|R|28-JUN-2017|1|3|MISI|17.22
P|R|28-JUN-2017|1|3|MNSI|11.2
P|R|28-JUN-2017|1|3|NYSI|11.31
P|R|28-JUN-2017|1|3|ONZN|-4.4
P|R|28-JUN-2017|1|3|PQAT|-4.4
P|R|28-JUN-2017|1|3|PQBE|-4.4
P|R|28-JUN-2017|1|3|PQDA|-4.4
P|R|28-JUN-2017|1|3|PQDZ|-4.4
P|R|28-JUN-2017|1|3|PQHA|-4.4
P|R|28-JUN-2017|1|3|PQHZ|-4.4
P|R|28-JUN-2017|1|3|PQPC|-4.4
P|R|28-JUN-2017|1|3|PQQC|-4.4
P|R|28-JUN-2017|1|3|PQSK|-4.4
P|R|28-JUN-2017|1|3|PQXY|-4.4
P|R|28-JUN-2017|1|4|MBSI|-4.6
P|R|28-JUN-2017|1|4|MISI|17.02
P|R|28-JUN-2017|1|4|MNSI|11
P|R|28-JUN-2017|1|4|NYSI|11.11
P|R|28-JUN-2017|1|4|ONZN|-4.6
P|R|28-JUN-2017|1|4|PQAT|-4.6
P|R|28-JUN-2017|1|4|PQBE|-4.6
P|R|28-JUN-2017|1|4|PQDA|-4.6
P|R|28-JUN-2017|1|4|PQDZ|-4.6
P|R|28-JUN-2017|1|4|PQHA|-4.6
P|R|28-JUN-2017|1|4|PQHZ|-4.6
P|R|28-JUN-2017|1|4|PQPC|-4.6
P|R|28-JUN-2017|1|4|PQQC|-4.6
P|R|28-JUN-2017|1|4|PQSK|-4.6
P|R|28-JUN-2017|1|4|PQXY|-4.6
P|R|28-JUN-2017|1|5|MBSI|-4.6
P|R|28-JUN-2017|1|5|MISI|17.02
P|R|28-JUN-2017|1|5|MNSI|11
P|R|28-JUN-2017|1|5|NYSI|11.11
P|R|28-JUN-2017|1|5|ONZN|-4.6
P|R|28-JUN-2017|1|5|PQAT|-4.6
P|R|28-JUN-2017|1|5|PQBE|-4.6
P|R|28-JUN-2017|1|5|PQDA|-4.6
P|R|28-JUN-2017|1|5|PQDZ|-4.6
P|R|28-JUN-2017|1|5|PQHA|-4.6
P|R|28-JUN-2017|1|5|PQHZ|-4.6
P|R|28-JUN-2017|1|5|PQPC|-4.6
P|R|28-JUN-2017|1|5|PQQC|-4.6
P|R|28-JUN-2017|1|5|PQSK|-4.6
P|R|28-JUN-2017|1|5|PQXY|-4.6
P|R|28-JUN-2017|1|6|MBSI|-4.6
P|R|28-JUN-2017|1|6|MISI|17.02
P|R|28-JUN-2017|1|6|MNSI|11
P|R|28-JUN-2017|1|6|NYSI|11.11
P|R|28-JUN-2017|1|6|ONZN|-4.6
P|R|28-JUN-2017|1|6|PQAT|-4.6
P|R|28-JUN-2017|1|6|PQBE|-4.6
P|R|28-JUN-2017|1|6|PQDA|-4.6
P|R|28-JUN-2017|1|6|PQDZ|-4.6
P|R|28-JUN-2017|1|6|PQHA|-4.6
P|R|28-JUN-2017|1|6|PQHZ|-4.6
P|R|28-JUN-2017|1|6|PQPC|-4.6
P|R|28-JUN-2017|1|6|PQQC|-4.6
P|R|28-JUN-2017|1|6|PQSK|-4.6
P|R|28-JUN-2017|1|6|PQXY|-4.6
P|R|28-JUN-2017|1|7|MBSI|-4.6
P|R|28-JUN-2017|1|7|MISI|17.02
P|R|28-JUN-2017|1|7|MNSI|11
P|R|28-JUN-2017|1|7|NYSI|11.11
P|R|28-JUN-2017|1|7|ONZN|-4.6
P|R|28-JUN-2017|1|7|PQAT|-4.6
P|R|28-JUN-2017|1|7|PQBE|-4.6
P|R|28-JUN-2017|1|7|PQDA|-4.6
P|R|28-JUN-2017|1|7|PQDZ|-4.6
P|R|28-JUN-2017|1|7|PQHA|-4.6
P|R|28-JUN-2017|1|7|PQHZ|-4.6
P|R|28-JUN-2017|1|7|PQPC|-4.6
P|R|28-JUN-2017|1|7|PQQC|-4.6
P|R|28-JUN-2017|1|7|PQSK|-4.6
P|R|28-JUN-2017|1|7|PQXY|-4.6
P|R|28-JUN-2017|1|8|MBSI|-4.6
P|R|28-JUN-2017|1|8|MISI|17.02
P|R|28-JUN-2017|1|8|MNSI|11
P|R|28-JUN-2017|1|8|NYSI|11.11
P|R|28-JUN-2017|1|8|ONZN|-4.6
P|R|28-JUN-2017|1|8|PQAT|-4.6
P|R|28-JUN-2017|1|8|PQBE|-4.6
P|R|28-JUN-2017|1|8|PQDA|-4.6
P|R|28-JUN-2017|1|8|PQDZ|-4.6
P|R|28-JUN-2017|1|8|PQHA|-4.6
P|R|28-JUN-2017|1|8|PQHZ|-4.6
P|R|28-JUN-2017|1|8|PQPC|-4.6
P|R|28-JUN-2017|1|8|PQQC|-4.6
P|R|28-JUN-2017|1|8|PQSK|-4.6
P|R|28-JUN-2017|1|8|PQXY|-4.6
P|R|28-JUN-2017|1|9|MBSI|-4.6
P|R|28-JUN-2017|1|9|MISI|17.02
P|R|28-JUN-2017|1|9|MNSI|11
P|R|28-JUN-2017|1|9|NYSI|11.11
P|R|28-JUN-2017|1|9|ONZN|-4.6
P|R|28-JUN-2017|1|9|PQAT|-4.6
P|R|28-JUN-2017|1|9|PQBE|-4.6
P|R|28-JUN-2017|1|9|PQDA|-4.6
P|R|28-JUN-2017|1|9|PQDZ|-4.6
P|R|28-JUN-2017|1|9|PQHA|-4.6
P|R|28-JUN-2017|1|9|PQHZ|-4.6
P|R|28-JUN-2017|1|9|PQPC|-4.6
P|R|28-JUN-2017|1|9|PQQC|-4.6
P|R|28-JUN-2017|1|9|PQSK|-4.6
P|R|28-JUN-2017|1|9|PQXY|-4.6
P|R|28-JUN-2017|1|10|MBSI|-4.6
P|R|28-JUN-2017|1|10|MISI|17.02
P|R|28-JUN-2017|1|10|MNSI|11
P|R|28-JUN-2017|1|10|NYSI|11.11
P|R|28-JUN-2017|1|10|ONZN|-4.6
P|R|28-JUN-2017|1|10|PQAT|-4.6
P|R|28-JUN-2017|1|10|PQBE|-4.6
P|R|28-JUN-2017|1|10|PQDA|-4.6
P|R|28-JUN-2017|1|10|PQDZ|-4.6
P|R|28-JUN-2017|1|10|PQHA|-4.6
P|R|28-JUN-2017|1|10|PQHZ|-4.6
P|R|28-JUN-2017|1|10|PQPC|-4.6
P|R|28-JUN-2017|1|10|PQQC|-4.6
P|R|28-JUN-2017|1|10|PQSK|-4.6
P|R|28-JUN-2017|1|10|PQXY|-4.6
P|R|28-JUN-2017|1|11|MBSI|-4.6
P|R|28-JUN-2017|1|11|MISI|17.02
P|R|28-JUN-2017|1|11|MNSI|11
P|R|28-JUN-2017|1|11|NYSI|11.11
P|R|28-JUN-2017|1|11|ONZN|-4.6
P|R|28-JUN-2017|1|11|PQAT|-4.6
P|R|28-JUN-2017|1|11|PQBE|-4.6
P|R|28-JUN-2017|1|11|PQDA|-4.6
P|R|28-JUN-2017|1|11|PQDZ|-4.6
P|R|28-JUN-2017|1|11|PQHA|-4.6
P|R|28-JUN-2017|1|11|PQHZ|-4.6
P|R|28-JUN-2017|1|11|PQPC|-4.6
P|R|28-JUN-2017|1|11|PQQC|-4.6
P|R|28-JUN-2017|1|11|PQSK|-4.6
P|R|28-JUN-2017|1|11|PQXY|-4.6
P|R|28-JUN-2017|1|12|MBSI|-4.7
P|R|28-JUN-2017|1|12|MISI|16.92
P|R|28-JUN-2017|1|12|MNSI|10.9
P|R|28-JUN-2017|1|12|NYSI|11.01
P|R|28-JUN-2017|1|12|ONZN|-4.7
P|R|28-JUN-2017|1|12|PQAT|-4.7
P|R|28-JUN-2017|1|12|PQBE|-4.7
P|R|28-JUN-2017|1|12|PQDA|-4.7
P|R|28-JUN-2017|1|12|PQDZ|-4.7
P|R|28-JUN-2017|1|12|PQHA|-4.7
P|R|28-JUN-2017|1|12|PQHZ|-4.7
P|R|28-JUN-2017|1|12|PQPC|-4.7
P|R|28-JUN-2017|1|12|PQQC|-4.7
P|R|28-JUN-2017|1|12|PQSK|-4.7
P|R|28-JUN-2017|1|12|PQXY|-4.7
P|H|28-JUN-2017|2|0|ONZN|-4.66
P|R|28-JUN-2017|2|1|MBSI|-4.6
P|R|28-JUN-2017|2|1|MISI|14
P|R|28-JUN-2017|2|1|MNSI|10
P|R|28-JUN-2017|2|1|NYSI|1.23
P|R|28-JUN-2017|2|1|ONZN|-4.6
P|R|28-JUN-2017|2|1|PQAT|-4.6
P|R|28-JUN-2017|2|1|PQBE|-4.6
P|R|28-JUN-2017|2|1|PQDA|-4.6
P|R|28-JUN-2017|2|1|PQDZ|-4.6
P|R|28-JUN-2017|2|1|PQHA|-4.6
P|R|28-JUN-2017|2|1|PQHZ|-4.6
P|R|28-JUN-2017|2|1|PQPC|-4.6
P|R|28-JUN-2017|2|1|PQQC|-4.6
P|R|28-JUN-2017|2|1|PQSK|-4.6
P|R|28-JUN-2017|2|1|PQXY|-4.6
P|R|28-JUN-2017|2|2|MBSI|-4.6
P|R|28-JUN-2017|2|2|MISI|14
P|R|28-JUN-2017|2|2|MNSI|10
P|R|28-JUN-2017|2|2|NYSI|1.23
P|R|28-JUN-2017|2|2|ONZN|-4.6
P|R|28-JUN-2017|2|2|PQAT|-4.6
P|R|28-JUN-2017|2|2|PQBE|-4.6
P|R|28-JUN-2017|2|2|PQDA|-4.6
P|R|28-JUN-2017|2|2|PQDZ|-4.6
P|R|28-JUN-2017|2|2|PQHA|-4.6
P|R|28-JUN-2017|2|2|PQHZ|-4.6
P|R|28-JUN-2017|2|2|PQPC|-4.6
P|R|28-JUN-2017|2|2|PQQC|-4.6
P|R|28-JUN-2017|2|2|PQSK|-4.6
P|R|28-JUN-2017|2|2|PQXY|-4.6
P|R|28-JUN-2017|2|3|MBSI|-4.6
P|R|28-JUN-2017|2|3|MISI|14
P|R|28-JUN-2017|2|3|MNSI|10
P|R|28-JUN-2017|2|3|NYSI|1.23
P|R|28-JUN-2017|2|3|ONZN|-4.6
P|R|28-JUN-2017|2|3|PQAT|-4.6
P|R|28-JUN-2017|2|3|PQBE|-4.6
P|R|28-JUN-2017|2|3|PQDA|-4.6
P|R|28-JUN-2017|2|3|PQDZ|-4.6
P|R|28-JUN-2017|2|3|PQHA|-4.6
P|R|28-JUN-2017|2|3|PQHZ|-4.6
P|R|28-JUN-2017|2|3|PQPC|-4.6
P|R|28-JUN-2017|2|3|PQQC|-4.6
P|R|28-JUN-2017|2|3|PQSK|-4.6
P|R|28-JUN-2017|2|3|PQXY|-4.6
P|R|28-JUN-2017|2|4|MBSI|-4.6
P|R|28-JUN-2017|2|4|MISI|14
P|R|28-JUN-2017|2|4|MNSI|10
