H|182789|26-DEC-2017|1243401|DT|P|F
P|R|26-DEC-2017|1|4|PQHZ|-.02
P|R|26-DEC-2017|1|4|PQPC|-.02
P|R|26-DEC-2017|1|4|PQQC|-.02
P|R|26-DEC-2017|1|4|PQSK|-.02
P|R|26-DEC-2017|1|4|PQXY|-.02
P|R|26-DEC-2017|1|5|MBSI|8
P|R|26-DEC-2017|1|5|MISI|25.63
P|R|26-DEC-2017|1|5|MNSI|29.87
P|R|26-DEC-2017|1|5|NYSI|-.1
P|R|26-DEC-2017|1|5|ONZN|-.1
P|R|26-DEC-2017|1|5|PQAT|-.1
P|R|26-DEC-2017|1|5|PQBE|-.1
P|R|26-DEC-2017|1|5|PQDA|-.1
P|R|26-DEC-2017|1|5|PQDZ|-.1
P|R|26-DEC-2017|1|5|PQHA|-.1
P|R|26-DEC-2017|1|5|PQHZ|-.1
P|R|26-DEC-2017|1|5|PQPC|-.1
P|R|26-DEC-2017|1|5|PQQC|-.1
P|R|26-DEC-2017|1|5|PQSK|-.1
P|R|26-DEC-2017|1|5|PQXY|-.1
P|R|26-DEC-2017|1|6|MBSI|5.1
P|R|26-DEC-2017|1|6|MISI|22.73
P|R|26-DEC-2017|1|6|MNSI|26.97
P|R|26-DEC-2017|1|6|NYSI|-3
P|R|26-DEC-2017|1|6|ONZN|-3
P|R|26-DEC-2017|1|6|PQAT|-3
P|R|26-DEC-2017|1|6|PQBE|-3
P|R|26-DEC-2017|1|6|PQDA|-3
P|R|26-DEC-2017|1|6|PQDZ|-3
P|R|26-DEC-2017|1|6|PQHA|-3
P|R|26-DEC-2017|1|6|PQHZ|-3
P|R|26-DEC-2017|1|6|PQPC|-3
P|R|26-DEC-2017|1|6|PQQC|-3
P|R|26-DEC-2017|1|6|PQSK|-3
P|R|26-DEC-2017|1|6|PQXY|-3
P|R|26-DEC-2017|1|7|MBSI|5.1
P|R|26-DEC-2017|1|7|MISI|22.73
P|R|26-DEC-2017|1|7|MNSI|26.97
P|R|26-DEC-2017|1|7|NYSI|-3
P|R|26-DEC-2017|1|7|ONZN|-3
P|R|26-DEC-2017|1|7|PQAT|-3
P|R|26-DEC-2017|1|7|PQBE|-3
P|R|26-DEC-2017|1|7|PQDA|-3
P|R|26-DEC-2017|1|7|PQDZ|-3
P|R|26-DEC-2017|1|7|PQHA|-3
P|R|26-DEC-2017|1|7|PQHZ|-3
P|R|26-DEC-2017|1|7|PQPC|-3
P|R|26-DEC-2017|1|7|PQQC|-3
P|R|26-DEC-2017|1|7|PQSK|-3
P|R|26-DEC-2017|1|7|PQXY|-3
P|R|26-DEC-2017|1|8|MBSI|5.1
P|R|26-DEC-2017|1|8|MISI|22.73
P|R|26-DEC-2017|1|8|MNSI|26.97
P|R|26-DEC-2017|1|8|NYSI|-3
P|R|26-DEC-2017|1|8|ONZN|-3
P|R|26-DEC-2017|1|8|PQAT|-3
P|R|26-DEC-2017|1|8|PQBE|-3
P|R|26-DEC-2017|1|8|PQDA|-3
P|R|26-DEC-2017|1|8|PQDZ|-3
P|R|26-DEC-2017|1|8|PQHA|-3
P|R|26-DEC-2017|1|8|PQHZ|-3
P|R|26-DEC-2017|1|8|PQPC|-3
P|R|26-DEC-2017|1|8|PQQC|-3
P|R|26-DEC-2017|1|8|PQSK|-3
P|R|26-DEC-2017|1|8|PQXY|-3
P|R|26-DEC-2017|1|9|MBSI|5.1
P|R|26-DEC-2017|1|9|MISI|22.73
P|R|26-DEC-2017|1|9|MNSI|26.97
P|R|26-DEC-2017|1|9|NYSI|-3
P|R|26-DEC-2017|1|9|ONZN|-3
P|R|26-DEC-2017|1|9|PQAT|-3
P|R|26-DEC-2017|1|9|PQBE|-3
P|R|26-DEC-2017|1|9|PQDA|-3
P|R|26-DEC-2017|1|9|PQDZ|-3
P|R|26-DEC-2017|1|9|PQHA|-3
P|R|26-DEC-2017|1|9|PQHZ|-3
P|R|26-DEC-2017|1|9|PQPC|-3
P|R|26-DEC-2017|1|9|PQQC|-3
P|R|26-DEC-2017|1|9|PQSK|-3
P|R|26-DEC-2017|1|9|PQXY|-3
P|R|26-DEC-2017|1|10|MBSI|5.1
P|R|26-DEC-2017|1|10|MISI|22.73
P|R|26-DEC-2017|1|10|MNSI|26.97
P|R|26-DEC-2017|1|10|NYSI|-3
P|R|26-DEC-2017|1|10|ONZN|-3
P|R|26-DEC-2017|1|10|PQAT|-3
P|R|26-DEC-2017|1|10|PQBE|-3
P|R|26-DEC-2017|1|10|PQDA|-3
P|R|26-DEC-2017|1|10|PQDZ|-3
P|R|26-DEC-2017|1|10|PQHA|-3
P|R|26-DEC-2017|1|10|PQHZ|-3
P|R|26-DEC-2017|1|10|PQPC|-3
P|R|26-DEC-2017|1|10|PQQC|-3
P|R|26-DEC-2017|1|10|PQSK|-3
P|R|26-DEC-2017|1|10|PQXY|-3
P|R|26-DEC-2017|1|11|MBSI|5.1
P|R|26-DEC-2017|1|11|MISI|22.73
P|R|26-DEC-2017|1|11|MNSI|26.97
P|R|26-DEC-2017|1|11|NYSI|-3
P|R|26-DEC-2017|1|11|ONZN|-3
P|R|26-DEC-2017|1|11|PQAT|-3
P|R|26-DEC-2017|1|11|PQBE|-3
P|R|26-DEC-2017|1|11|PQDA|-3
P|R|26-DEC-2017|1|11|PQDZ|-3
P|R|26-DEC-2017|1|11|PQHA|-3
P|R|26-DEC-2017|1|11|PQHZ|-3
P|R|26-DEC-2017|1|11|PQPC|-3
P|R|26-DEC-2017|1|11|PQQC|-3
P|R|26-DEC-2017|1|11|PQSK|-3
P|R|26-DEC-2017|1|11|PQXY|-3
P|R|26-DEC-2017|1|12|MBSI|5.1
P|R|26-DEC-2017|1|12|MISI|22.73
P|R|26-DEC-2017|1|12|MNSI|26.97
P|R|26-DEC-2017|1|12|NYSI|-3
P|R|26-DEC-2017|1|12|ONZN|-3
P|R|26-DEC-2017|1|12|PQAT|-3
P|R|26-DEC-2017|1|12|PQBE|-3
P|R|26-DEC-2017|1|12|PQDA|-3
P|R|26-DEC-2017|1|12|PQDZ|-3
P|R|26-DEC-2017|1|12|PQHA|-3
P|R|26-DEC-2017|1|12|PQHZ|-3
P|R|26-DEC-2017|1|12|PQPC|-3
P|R|26-DEC-2017|1|12|PQQC|-3
P|R|26-DEC-2017|1|12|PQSK|-3
P|R|26-DEC-2017|1|12|PQXY|-3
P|H|26-DEC-2017|2|0|ONZN|-3
P|R|26-DEC-2017|2|1|MBSI|15
P|R|26-DEC-2017|2|1|MISI|22.02
