H|182789|27-SEP-2017|1220238|DT|P|F
P|R|27-SEP-2017|1|8|MBSI|11.31
P|R|27-SEP-2017|1|8|MISI|20.36
P|R|27-SEP-2017|1|8|MNSI|11.31
P|R|27-SEP-2017|1|8|NYSI|11.31
P|R|27-SEP-2017|1|8|ONZN|11.31
P|R|27-SEP-2017|1|8|PQAT|11.31
P|R|27-SEP-2017|1|8|PQBE|11.31
P|R|27-SEP-2017|1|8|PQDA|11.31
P|R|27-SEP-2017|1|8|PQDZ|11.31
P|R|27-SEP-2017|1|8|PQHA|11.31
P|R|27-SEP-2017|1|8|PQHZ|11.31
P|R|27-SEP-2017|1|8|PQPC|11.31
P|R|27-SEP-2017|1|8|PQQC|11.31
P|R|27-SEP-2017|1|8|PQSK|11.31
P|R|27-SEP-2017|1|8|PQXY|11.31
P|R|27-SEP-2017|1|9|MBSI|11.31
P|R|27-SEP-2017|1|9|MISI|20.36
P|R|27-SEP-2017|1|9|MNSI|11.31
P|R|27-SEP-2017|1|9|NYSI|11.31
P|R|27-SEP-2017|1|9|ONZN|11.31
P|R|27-SEP-2017|1|9|PQAT|11.31
P|R|27-SEP-2017|1|9|PQBE|11.31
P|R|27-SEP-2017|1|9|PQDA|11.31
P|R|27-SEP-2017|1|9|PQDZ|11.31
P|R|27-SEP-2017|1|9|PQHA|11.31
P|R|27-SEP-2017|1|9|PQHZ|11.31
P|R|27-SEP-2017|1|9|PQPC|11.31
P|R|27-SEP-2017|1|9|PQQC|11.31
P|R|27-SEP-2017|1|9|PQSK|11.31
P|R|27-SEP-2017|1|9|PQXY|11.31
P|R|27-SEP-2017|1|10|MBSI|11.29
P|R|27-SEP-2017|1|10|MISI|20.34
P|R|27-SEP-2017|1|10|MNSI|11.29
P|R|27-SEP-2017|1|10|NYSI|11.29
P|R|27-SEP-2017|1|10|ONZN|11.29
P|R|27-SEP-2017|1|10|PQAT|11.29
P|R|27-SEP-2017|1|10|PQBE|11.29
P|R|27-SEP-2017|1|10|PQDA|11.29
P|R|27-SEP-2017|1|10|PQDZ|11.29
P|R|27-SEP-2017|1|10|PQHA|11.29
P|R|27-SEP-2017|1|10|PQHZ|11.29
P|R|27-SEP-2017|1|10|PQPC|11.29
P|R|27-SEP-2017|1|10|PQQC|11.29
P|R|27-SEP-2017|1|10|PQSK|11.29
P|R|27-SEP-2017|1|10|PQXY|11.29
P|R|27-SEP-2017|1|11|MBSI|11.28
P|R|27-SEP-2017|1|11|MISI|20.33
P|R|27-SEP-2017|1|11|MNSI|11.28
P|R|27-SEP-2017|1|11|NYSI|11.28
P|R|27-SEP-2017|1|11|ONZN|11.28
P|R|27-SEP-2017|1|11|PQAT|11.28
P|R|27-SEP-2017|1|11|PQBE|11.28
P|R|27-SEP-2017|1|11|PQDA|11.28
P|R|27-SEP-2017|1|11|PQDZ|11.28
P|R|27-SEP-2017|1|11|PQHA|11.28
P|R|27-SEP-2017|1|11|PQHZ|11.28
P|R|27-SEP-2017|1|11|PQPC|11.28
P|R|27-SEP-2017|1|11|PQQC|11.28
P|R|27-SEP-2017|1|11|PQSK|11.28
P|R|27-SEP-2017|1|11|PQXY|11.28
P|R|27-SEP-2017|1|12|MBSI|11.29
P|R|27-SEP-2017|1|12|MISI|20.34
P|R|27-SEP-2017|1|12|MNSI|11.29
P|R|27-SEP-2017|1|12|NYSI|11.29
P|R|27-SEP-2017|1|12|ONZN|11.29
P|R|27-SEP-2017|1|12|PQAT|11.29
P|R|27-SEP-2017|1|12|PQBE|11.29
P|R|27-SEP-2017|1|12|PQDA|11.29
P|R|27-SEP-2017|1|12|PQDZ|11.29
P|R|27-SEP-2017|1|12|PQHA|11.29
P|R|27-SEP-2017|1|12|PQHZ|11.29
P|R|27-SEP-2017|1|12|PQPC|11.29
P|R|27-SEP-2017|1|12|PQQC|11.29
P|R|27-SEP-2017|1|12|PQSK|11.29
P|R|27-SEP-2017|1|12|PQXY|11.29
P|H|27-SEP-2017|2|0|ONZN|11.38
P|R|27-SEP-2017|2|1|MBSI|13.32
P|R|27-SEP-2017|2|1|MISI|19.88
P|R|27-SEP-2017|2|1|MNSI|13.32
P|R|27-SEP-2017|2|1|NYSI|13.32
P|R|27-SEP-2017|2|1|ONZN|13.32
P|R|27-SEP-2017|2|1|PQAT|13.32
P|R|27-SEP-2017|2|1|PQBE|13.32
P|R|27-SEP-2017|2|1|PQDA|13.32
P|R|27-SEP-2017|2|1|PQDZ|13.32
P|R|27-SEP-2017|2|1|PQHA|13.32
P|R|27-SEP-2017|2|1|PQHZ|13.32
P|R|27-SEP-2017|2|1|PQPC|13.32
P|R|27-SEP-2017|2|1|PQQC|13.32
P|R|27-SEP-2017|2|1|PQSK|13.32
P|R|27-SEP-2017|2|1|PQXY|13.32
P|R|27-SEP-2017|2|2|MBSI|13.31
P|R|27-SEP-2017|2|2|MISI|19.87
P|R|27-SEP-2017|2|2|MNSI|13.31
P|R|27-SEP-2017|2|2|NYSI|13.31
P|R|27-SEP-2017|2|2|ONZN|13.31
P|R|27-SEP-2017|2|2|PQAT|13.31
P|R|27-SEP-2017|2|2|PQBE|13.31
P|R|27-SEP-2017|2|2|PQDA|13.31
P|R|27-SEP-2017|2|2|PQDZ|13.31
P|R|27-SEP-2017|2|2|PQHA|13.31
P|R|27-SEP-2017|2|2|PQHZ|13.31
P|R|27-SEP-2017|2|2|PQPC|13.31
P|R|27-SEP-2017|2|2|PQQC|13.31
P|R|27-SEP-2017|2|2|PQSK|13.31
P|R|27-SEP-2017|2|2|PQXY|13.31
P|R|27-SEP-2017|2|3|MBSI|13.32
P|R|27-SEP-2017|2|3|MISI|19.88
P|R|27-SEP-2017|2|3|MNSI|13.32
P|R|27-SEP-2017|2|3|NYSI|13.32
P|R|27-SEP-2017|2|3|ONZN|13.32
P|R|27-SEP-2017|2|3|PQAT|13.32
P|R|27-SEP-2017|2|3|PQBE|13.32
P|R|27-SEP-2017|2|3|PQDA|13.32
P|R|27-SEP-2017|2|3|PQDZ|13.32
P|R|27-SEP-2017|2|3|PQHA|13.32
P|R|27-SEP-2017|2|3|PQHZ|13.32
P|R|27-SEP-2017|2|3|PQPC|13.32
P|R|27-SEP-2017|2|3|PQQC|13.32
P|R|27-SEP-2017|2|3|PQSK|13.32
P|R|27-SEP-2017|2|3|PQXY|13.32
P|R|27-SEP-2017|2|4|MBSI|13.3
P|R|27-SEP-2017|2|4|MISI|19.86
P|R|27-SEP-2017|2|4|MNSI|13.3
P|R|27-SEP-2017|2|4|NYSI|13.3
P|R|27-SEP-2017|2|4|ONZN|13.3
P|R|27-SEP-2017|2|4|PQAT|13.3
P|R|27-SEP-2017|2|4|PQBE|13.3
P|R|27-SEP-2017|2|4|PQDA|13.3
P|R|27-SEP-2017|2|4|PQDZ|13.3
P|R|27-SEP-2017|2|4|PQHA|13.3
P|R|27-SEP-2017|2|4|PQHZ|13.3
P|R|27-SEP-2017|2|4|PQPC|13.3
P|R|27-SEP-2017|2|4|PQQC|13.3
P|R|27-SEP-2017|2|4|PQSK|13.3
P|R|27-SEP-2017|2|4|PQXY|13.3
P|R|27-SEP-2017|2|5|MBSI|13.3
P|R|27-SEP-2017|2|5|MISI|19.86
P|R|27-SEP-2017|2|5|MNSI|13.3
P|R|27-SEP-2017|2|5|NYSI|13.3
P|R|27-SEP-2017|2|5|ONZN|13.3
P|R|27-SEP-2017|2|5|PQAT|13.3
P|R|27-SEP-2017|2|5|PQBE|13.3
P|R|27-SEP-2017|2|5|PQDA|13.3
P|R|27-SEP-2017|2|5|PQDZ|13.3
P|R|27-SEP-2017|2|5|PQHA|13.3
P|R|27-SEP-2017|2|5|PQHZ|13.3
P|R|27-SEP-2017|2|5|PQPC|13.3
P|R|27-SEP-2017|2|5|PQQC|13.3
P|R|27-SEP-2017|2|5|PQSK|13.3
P|R|27-SEP-2017|2|5|PQXY|13.3
P|R|27-SEP-2017|2|6|MBSI|13.3
P|R|27-SEP-2017|2|6|MISI|19.86
P|R|27-SEP-2017|2|6|MNSI|13.3
P|R|27-SEP-2017|2|6|NYSI|13.3
P|R|27-SEP-2017|2|6|ONZN|13.3
P|R|27-SEP-2017|2|6|PQAT|13.3
P|R|27-SEP-2017|2|6|PQBE|13.3
P|R|27-SEP-2017|2|6|PQDA|13.3
P|R|27-SEP-2017|2|6|PQDZ|13.3
P|R|27-SEP-2017|2|6|PQHA|13.3
P|R|27-SEP-2017|2|6|PQHZ|13.3
P|R|27-SEP-2017|2|6|PQPC|13.3
P|R|27-SEP-2017|2|6|PQQC|13.3
P|R|27-SEP-2017|2|6|PQSK|13.3
P|R|27-SEP-2017|2|6|PQXY|13.3
P|R|27-SEP-2017|2|7|MBSI|13.3
P|R|27-SEP-2017|2|7|MISI|19.86
P|R|27-SEP-2017|2|7|MNSI|13.3
P|R|27-SEP-2017|2|7|NYSI|13.3
P|R|27-SEP-2017|2|7|ONZN|13.3
P|R|27-SEP-2017|2|7|PQAT|13.3
P|R|27-SEP-2017|2|7|PQBE|13.3
P|R|27-SEP-2017|2|7|PQDA|13.3
P|R|27-SEP-2017|2|7|PQDZ|13.3
P|R|27-SEP-2017|2|7|PQHA|13.3
P|R|27-SEP-2017|2|7|PQHZ|13.3
P|R|27-SEP-2017|2|7|PQPC|13.3
P|R|27-SEP-2017|2|7|PQQC|13.3
P|R|27-SEP-2017|2|7|PQSK|13.3
P|R|27-SEP-2017|2|7|PQXY|13.3
P|R|27-SEP-2017|2|8|MBSI|13.31
P|R|27-SEP-2017|2|8|MISI|19.87
P|R|27-SEP-2017|2|8|MNSI|13.31
P|R|27-SEP-2017|2|8|NYSI|13.31
P|R|27-SEP-2017|2|8|ONZN|13.31
P|R|27-SEP-2017|2|8|PQAT|13.31
P|R|27-SEP-2017|2|8|PQBE|13.31
P|R|27-SEP-2017|2|8|PQDA|13.31
P|R|27-SEP-2017|2|8|PQDZ|13.31
P|R|27-SEP-2017|2|8|PQHA|13.31
P|R|27-SEP-2017|2|8|PQHZ|13.31
P|R|27-SEP-2017|2|8|PQPC|13.31
P|R|27-SEP-2017|2|8|PQQC|13.31
P|R|27-SEP-2017|2|8|PQSK|13.31
P|R|27-SEP-2017|2|8|PQXY|13.31
P|R|27-SEP-2017|2|9|MBSI|13.31
P|R|27-SEP-2017|2|9|MISI|19.87
P|R|27-SEP-2017|2|9|MNSI|13.31
P|R|27-SEP-2017|2|9|NYSI|13.31
P|R|27-SEP-2017|2|9|ONZN|13.31
P|R|27-SEP-2017|2|9|PQAT|13.31
P|R|27-SEP-2017|2|9|PQBE|13.31
P|R|27-SEP-2017|2|9|PQDA|13.31
P|R|27-SEP-2017|2|9|PQDZ|13.31
P|R|27-SEP-2017|2|9|PQHA|13.31
P|R|27-SEP-2017|2|9|PQHZ|13.31
P|R|27-SEP-2017|2|9|PQPC|13.31
P|R|27-SEP-2017|2|9|PQQC|13.31
P|R|27-SEP-2017|2|9|PQSK|13.31
P|R|27-SEP-2017|2|9|PQXY|13.31
P|R|27-SEP-2017|2|10|MBSI|5.09
P|R|27-SEP-2017|2|10|MISI|11.65
P|R|27-SEP-2017|2|10|MNSI|5.09
P|R|27-SEP-2017|2|10|NYSI|5.09
P|R|27-SEP-2017|2|10|ONZN|5.09
P|R|27-SEP-2017|2|10|PQAT|5.09
P|R|27-SEP-2017|2|10|PQBE|5.09
P|R|27-SEP-2017|2|10|PQDA|5.09
P|R|27-SEP-2017|2|10|PQDZ|5.09
P|R|27-SEP-2017|2|10|PQHA|5.09
P|R|27-SEP-2017|2|10|PQHZ|5.09
P|R|27-SEP-2017|2|10|PQPC|5.09
P|R|27-SEP-2017|2|10|PQQC|5.09
P|R|27-SEP-2017|2|10|PQSK|5.09
P|R|27-SEP-2017|2|10|PQXY|5.09
P|R|27-SEP-2017|2|11|MBSI|5.09
P|R|27-SEP-2017|2|11|MISI|11.65
P|R|27-SEP-2017|2|11|MNSI|5.09
P|R|27-SEP-2017|2|11|NYSI|5.09
P|R|27-SEP-2017|2|11|ONZN|5.09
P|R|27-SEP-2017|2|11|PQAT|5.09
P|R|27-SEP-2017|2|11|PQBE|5.09
P|R|27-SEP-2017|2|11|PQDA|5.09
P|R|27-SEP-2017|2|11|PQDZ|5.09
P|R|27-SEP-2017|2|11|PQHA|5.09
P|R|27-SEP-2017|2|11|PQHZ|5.09
P|R|27-SEP-2017|2|11|PQPC|5.09
P|R|27-SEP-2017|2|11|PQQC|5.09
P|R|27-SEP-2017|2|11|PQSK|5.09
P|R|27-SEP-2017|2|11|PQXY|5.09
P|R|27-SEP-2017|2|12|MBSI|6.66
P|R|27-SEP-2017|2|12|MISI|13.22
P|R|27-SEP-2017|2|12|MNSI|6.66
P|R|27-SEP-2017|2|12|NYSI|6.66
P|R|27-SEP-2017|2|12|ONZN|6.66
P|R|27-SEP-2017|2|12|PQAT|6.66
P|R|27-SEP-2017|2|12|PQBE|6.66
P|R|27-SEP-2017|2|12|PQDA|6.66
P|R|27-SEP-2017|2|12|PQDZ|6.66
P|R|27-SEP-2017|2|12|PQHA|6.66
P|R|27-SEP-2017|2|12|PQHZ|6.66
P|R|27-SEP-2017|2|12|PQPC|6.66
P|R|27-SEP-2017|2|12|PQQC|6.66
P|R|27-SEP-2017|2|12|PQSK|6.66
P|R|27-SEP-2017|2|12|PQXY|6.66
P|H|27-SEP-2017|3|0|ONZN|2.33
P|R|27-SEP-2017|3|1|MBSI|13.22
P|R|27-SEP-2017|3|1|MISI|19.81
P|R|27-SEP-2017|3|1|MNSI|13.22
P|R|27-SEP-2017|3|1|NYSI|13.22
P|R|27-SEP-2017|3|1|ONZN|13.22
P|R|27-SEP-2017|3|1|PQAT|12.47
P|R|27-SEP-2017|3|1|PQBE|13.22
P|R|27-SEP-2017|3|1|PQDA|13.22
P|R|27-SEP-2017|3|1|PQDZ|13.22
P|R|27-SEP-2017|3|1|PQHA|13.22
P|R|27-SEP-2017|3|1|PQHZ|13.22
P|R|27-SEP-2017|3|1|PQPC|13.22
P|R|27-SEP-2017|3|1|PQQC|13.22
P|R|27-SEP-2017|3|1|PQSK|13.22
P|R|27-SEP-2017|3|1|PQXY|13.22
P|R|27-SEP-2017|3|2|MBSI|0
P|R|27-SEP-2017|3|2|MISI|6.59
P|R|27-SEP-2017|3|2|MNSI|0
P|R|27-SEP-2017|3|2|NYSI|0
P|R|27-SEP-2017|3|2|ONZN|0
P|R|27-SEP-2017|3|2|PQAT|-.75
P|R|27-SEP-2017|3|2|PQBE|0
