H|182789|28-SEP-2017|1220492|DT|P|F
P|H|28-SEP-2017|1|0|ONZN|0
P|R|28-SEP-2017|1|1|MBSI|0
P|R|28-SEP-2017|1|1|MISI|10.25
P|R|28-SEP-2017|1|1|MNSI|0
P|R|28-SEP-2017|1|1|NYSI|1.2
P|R|28-SEP-2017|1|1|ONZN|0
P|R|28-SEP-2017|1|1|PQAT|0
P|R|28-SEP-2017|1|1|PQBE|0
P|R|28-SEP-2017|1|1|PQDA|0
P|R|28-SEP-2017|1|1|PQDZ|0
P|R|28-SEP-2017|1|1|PQHA|0
P|R|28-SEP-2017|1|1|PQHZ|0
P|R|28-SEP-2017|1|1|PQPC|0
P|R|28-SEP-2017|1|1|PQQC|0
P|R|28-SEP-2017|1|1|PQSK|0
P|R|28-SEP-2017|1|1|PQXY|0
P|R|28-SEP-2017|1|2|MBSI|0
P|R|28-SEP-2017|1|2|MISI|10.25
P|R|28-SEP-2017|1|2|MNSI|0
P|R|28-SEP-2017|1|2|NYSI|1.2
P|R|28-SEP-2017|1|2|ONZN|0
P|R|28-SEP-2017|1|2|PQAT|0
P|R|28-SEP-2017|1|2|PQBE|0
P|R|28-SEP-2017|1|2|PQDA|0
P|R|28-SEP-2017|1|2|PQDZ|0
P|R|28-SEP-2017|1|2|PQHA|0
P|R|28-SEP-2017|1|2|PQHZ|0
P|R|28-SEP-2017|1|2|PQPC|0
P|R|28-SEP-2017|1|2|PQQC|0
P|R|28-SEP-2017|1|2|PQSK|0
P|R|28-SEP-2017|1|2|PQXY|0
P|R|28-SEP-2017|1|3|MBSI|0
P|R|28-SEP-2017|1|3|MISI|10.25
P|R|28-SEP-2017|1|3|MNSI|0
P|R|28-SEP-2017|1|3|NYSI|1.2
P|R|28-SEP-2017|1|3|ONZN|0
P|R|28-SEP-2017|1|3|PQAT|0
P|R|28-SEP-2017|1|3|PQBE|0
P|R|28-SEP-2017|1|3|PQDA|0
P|R|28-SEP-2017|1|3|PQDZ|0
P|R|28-SEP-2017|1|3|PQHA|0
P|R|28-SEP-2017|1|3|PQHZ|0
P|R|28-SEP-2017|1|3|PQPC|0
P|R|28-SEP-2017|1|3|PQQC|0
P|R|28-SEP-2017|1|3|PQSK|0
P|R|28-SEP-2017|1|3|PQXY|0
P|R|28-SEP-2017|1|4|MBSI|0
P|R|28-SEP-2017|1|4|MISI|10.25
P|R|28-SEP-2017|1|4|MNSI|0
P|R|28-SEP-2017|1|4|NYSI|1.2
P|R|28-SEP-2017|1|4|ONZN|0
P|R|28-SEP-2017|1|4|PQAT|0
P|R|28-SEP-2017|1|4|PQBE|0
P|R|28-SEP-2017|1|4|PQDA|0
P|R|28-SEP-2017|1|4|PQDZ|0
P|R|28-SEP-2017|1|4|PQHA|0
P|R|28-SEP-2017|1|4|PQHZ|0
P|R|28-SEP-2017|1|4|PQPC|0
P|R|28-SEP-2017|1|4|PQQC|0
P|R|28-SEP-2017|1|4|PQSK|0
P|R|28-SEP-2017|1|4|PQXY|0
P|R|28-SEP-2017|1|5|MBSI|0
P|R|28-SEP-2017|1|5|MISI|10.25
P|R|28-SEP-2017|1|5|MNSI|0
P|R|28-SEP-2017|1|5|NYSI|1.2
P|R|28-SEP-2017|1|5|ONZN|0
P|R|28-SEP-2017|1|5|PQAT|0
P|R|28-SEP-2017|1|5|PQBE|0
P|R|28-SEP-2017|1|5|PQDA|0
P|R|28-SEP-2017|1|5|PQDZ|0
P|R|28-SEP-2017|1|5|PQHA|0
P|R|28-SEP-2017|1|5|PQHZ|0
P|R|28-SEP-2017|1|5|PQPC|0
P|R|28-SEP-2017|1|5|PQQC|0
P|R|28-SEP-2017|1|5|PQSK|0
P|R|28-SEP-2017|1|5|PQXY|0
P|R|28-SEP-2017|1|6|MBSI|0
P|R|28-SEP-2017|1|6|MISI|10.25
P|R|28-SEP-2017|1|6|MNSI|0
P|R|28-SEP-2017|1|6|NYSI|1.2
P|R|28-SEP-2017|1|6|ONZN|0
P|R|28-SEP-2017|1|6|PQAT|0
P|R|28-SEP-2017|1|6|PQBE|0
P|R|28-SEP-2017|1|6|PQDA|0
P|R|28-SEP-2017|1|6|PQDZ|0
P|R|28-SEP-2017|1|6|PQHA|0
P|R|28-SEP-2017|1|6|PQHZ|0
P|R|28-SEP-2017|1|6|PQPC|0
P|R|28-SEP-2017|1|6|PQQC|0
P|R|28-SEP-2017|1|6|PQSK|0
P|R|28-SEP-2017|1|6|PQXY|0
P|R|28-SEP-2017|1|7|MBSI|0
P|R|28-SEP-2017|1|7|MISI|10.25
P|R|28-SEP-2017|1|7|MNSI|0
P|R|28-SEP-2017|1|7|NYSI|1.2
P|R|28-SEP-2017|1|7|ONZN|0
P|R|28-SEP-2017|1|7|PQAT|0
P|R|28-SEP-2017|1|7|PQBE|0
P|R|28-SEP-2017|1|7|PQDA|0
P|R|28-SEP-2017|1|7|PQDZ|0
P|R|28-SEP-2017|1|7|PQHA|0
P|R|28-SEP-2017|1|7|PQHZ|0
P|R|28-SEP-2017|1|7|PQPC|0
P|R|28-SEP-2017|1|7|PQQC|0
P|R|28-SEP-2017|1|7|PQSK|0
P|R|28-SEP-2017|1|7|PQXY|0
P|R|28-SEP-2017|1|8|MBSI|0
P|R|28-SEP-2017|1|8|MISI|10.25
P|R|28-SEP-2017|1|8|MNSI|0
