H|182789|29-SEP-2017|1220744|DT|P|F
P|H|29-SEP-2017|1|0|ONZN|.11
P|R|29-SEP-2017|1|1|MBSI|13.28
P|R|29-SEP-2017|1|1|MISI|23.15
P|R|29-SEP-2017|1|1|MNSI|15.26
P|R|29-SEP-2017|1|1|NYSI|13.28
P|R|29-SEP-2017|1|1|ONZN|13.28
P|R|29-SEP-2017|1|1|PQAT|13.28
P|R|29-SEP-2017|1|1|PQBE|13.28
P|R|29-SEP-2017|1|1|PQDA|13.28
P|R|29-SEP-2017|1|1|PQDZ|13.28
P|R|29-SEP-2017|1|1|PQHA|13.28
P|R|29-SEP-2017|1|1|PQHZ|13.28
P|R|29-SEP-2017|1|1|PQPC|13.28
P|R|29-SEP-2017|1|1|PQQC|13.28
P|R|29-SEP-2017|1|1|PQSK|13.28
P|R|29-SEP-2017|1|1|PQXY|13.28
P|R|29-SEP-2017|1|2|MBSI|0
P|R|29-SEP-2017|1|2|MISI|9.87
P|R|29-SEP-2017|1|2|MNSI|1.98
P|R|29-SEP-2017|1|2|NYSI|0
P|R|29-SEP-2017|1|2|ONZN|0
P|R|29-SEP-2017|1|2|PQAT|0
P|R|29-SEP-2017|1|2|PQBE|0
P|R|29-SEP-2017|1|2|PQDA|0
P|R|29-SEP-2017|1|2|PQDZ|0
P|R|29-SEP-2017|1|2|PQHA|0
P|R|29-SEP-2017|1|2|PQHZ|0
P|R|29-SEP-2017|1|2|PQPC|0
P|R|29-SEP-2017|1|2|PQQC|0
P|R|29-SEP-2017|1|2|PQSK|0
P|R|29-SEP-2017|1|2|PQXY|0
P|R|29-SEP-2017|1|3|MBSI|0
P|R|29-SEP-2017|1|3|MISI|9.87
P|R|29-SEP-2017|1|3|MNSI|1.98
P|R|29-SEP-2017|1|3|NYSI|0
P|R|29-SEP-2017|1|3|ONZN|0
P|R|29-SEP-2017|1|3|PQAT|0
P|R|29-SEP-2017|1|3|PQBE|0
P|R|29-SEP-2017|1|3|PQDA|0
P|R|29-SEP-2017|1|3|PQDZ|0
P|R|29-SEP-2017|1|3|PQHA|0
P|R|29-SEP-2017|1|3|PQHZ|0
P|R|29-SEP-2017|1|3|PQPC|0
P|R|29-SEP-2017|1|3|PQQC|0
P|R|29-SEP-2017|1|3|PQSK|0
P|R|29-SEP-2017|1|3|PQXY|0
P|R|29-SEP-2017|1|4|MBSI|0
P|R|29-SEP-2017|1|4|MISI|9.87
P|R|29-SEP-2017|1|4|MNSI|1.98
P|R|29-SEP-2017|1|4|NYSI|0
P|R|29-SEP-2017|1|4|ONZN|0
P|R|29-SEP-2017|1|4|PQAT|0
P|R|29-SEP-2017|1|4|PQBE|0
P|R|29-SEP-2017|1|4|PQDA|0
P|R|29-SEP-2017|1|4|PQDZ|0
P|R|29-SEP-2017|1|4|PQHA|0
P|R|29-SEP-2017|1|4|PQHZ|0
P|R|29-SEP-2017|1|4|PQPC|0
P|R|29-SEP-2017|1|4|PQQC|0
P|R|29-SEP-2017|1|4|PQSK|0
P|R|29-SEP-2017|1|4|PQXY|0
P|R|29-SEP-2017|1|5|MBSI|0
P|R|29-SEP-2017|1|5|MISI|9.87
P|R|29-SEP-2017|1|5|MNSI|1.98
P|R|29-SEP-2017|1|5|NYSI|0
P|R|29-SEP-2017|1|5|ONZN|0
P|R|29-SEP-2017|1|5|PQAT|0
P|R|29-SEP-2017|1|5|PQBE|0
P|R|29-SEP-2017|1|5|PQDA|0
P|R|29-SEP-2017|1|5|PQDZ|0
P|R|29-SEP-2017|1|5|PQHA|0
P|R|29-SEP-2017|1|5|PQHZ|0
P|R|29-SEP-2017|1|5|PQPC|0
P|R|29-SEP-2017|1|5|PQQC|0
P|R|29-SEP-2017|1|5|PQSK|0
P|R|29-SEP-2017|1|5|PQXY|0
P|R|29-SEP-2017|1|6|MBSI|0
P|R|29-SEP-2017|1|6|MISI|9.87
P|R|29-SEP-2017|1|6|MNSI|1.98
P|R|29-SEP-2017|1|6|NYSI|0
P|R|29-SEP-2017|1|6|ONZN|0
P|R|29-SEP-2017|1|6|PQAT|0
P|R|29-SEP-2017|1|6|PQBE|0
P|R|29-SEP-2017|1|6|PQDA|0
P|R|29-SEP-2017|1|6|PQDZ|0
P|R|29-SEP-2017|1|6|PQHA|0
P|R|29-SEP-2017|1|6|PQHZ|0
P|R|29-SEP-2017|1|6|PQPC|0
P|R|29-SEP-2017|1|6|PQQC|0
P|R|29-SEP-2017|1|6|PQSK|0
P|R|29-SEP-2017|1|6|PQXY|0
P|R|29-SEP-2017|1|7|MBSI|0
P|R|29-SEP-2017|1|7|MISI|9.87
P|R|29-SEP-2017|1|7|MNSI|1.98
P|R|29-SEP-2017|1|7|NYSI|0
P|R|29-SEP-2017|1|7|ONZN|0
P|R|29-SEP-2017|1|7|PQAT|0
P|R|29-SEP-2017|1|7|PQBE|0
P|R|29-SEP-2017|1|7|PQDA|0
P|R|29-SEP-2017|1|7|PQDZ|0
P|R|29-SEP-2017|1|7|PQHA|0
P|R|29-SEP-2017|1|7|PQHZ|0
P|R|29-SEP-2017|1|7|PQPC|0
P|R|29-SEP-2017|1|7|PQQC|0
P|R|29-SEP-2017|1|7|PQSK|0
P|R|29-SEP-2017|1|7|PQXY|0
P|R|29-SEP-2017|1|8|MBSI|-.02
P|R|29-SEP-2017|1|8|MISI|9.85
P|R|29-SEP-2017|1|8|MNSI|1.96
P|R|29-SEP-2017|1|8|NYSI|-.02
P|R|29-SEP-2017|1|8|ONZN|-.02
P|R|29-SEP-2017|1|8|PQAT|-.02
P|R|29-SEP-2017|1|8|PQBE|-.02
P|R|29-SEP-2017|1|8|PQDA|-.02
P|R|29-SEP-2017|1|8|PQDZ|-.02
P|R|29-SEP-2017|1|8|PQHA|-.02
P|R|29-SEP-2017|1|8|PQHZ|-.02
P|R|29-SEP-2017|1|8|PQPC|-.02
P|R|29-SEP-2017|1|8|PQQC|-.02
P|R|29-SEP-2017|1|8|PQSK|-.02
P|R|29-SEP-2017|1|8|PQXY|-.02
P|R|29-SEP-2017|1|9|MBSI|-3
P|R|29-SEP-2017|1|9|MISI|6.87
P|R|29-SEP-2017|1|9|MNSI|-1.02
P|R|29-SEP-2017|1|9|NYSI|-3
P|R|29-SEP-2017|1|9|ONZN|-3
P|R|29-SEP-2017|1|9|PQAT|-3
P|R|29-SEP-2017|1|9|PQBE|-3
P|R|29-SEP-2017|1|9|PQDA|-3
P|R|29-SEP-2017|1|9|PQDZ|-3
P|R|29-SEP-2017|1|9|PQHA|-3
P|R|29-SEP-2017|1|9|PQHZ|-3
P|R|29-SEP-2017|1|9|PQPC|-3
P|R|29-SEP-2017|1|9|PQQC|-3
P|R|29-SEP-2017|1|9|PQSK|-3
P|R|29-SEP-2017|1|9|PQXY|-3
P|R|29-SEP-2017|1|10|MBSI|-3
P|R|29-SEP-2017|1|10|MISI|6.87
P|R|29-SEP-2017|1|10|MNSI|-1.02
P|R|29-SEP-2017|1|10|NYSI|-3
P|R|29-SEP-2017|1|10|ONZN|-3
P|R|29-SEP-2017|1|10|PQAT|-3
P|R|29-SEP-2017|1|10|PQBE|-3
P|R|29-SEP-2017|1|10|PQDA|-3
P|R|29-SEP-2017|1|10|PQDZ|-3
P|R|29-SEP-2017|1|10|PQHA|-3
P|R|29-SEP-2017|1|10|PQHZ|-3
P|R|29-SEP-2017|1|10|PQPC|-3
P|R|29-SEP-2017|1|10|PQQC|-3
P|R|29-SEP-2017|1|10|PQSK|-3
P|R|29-SEP-2017|1|10|PQXY|-3
P|R|29-SEP-2017|1|11|MBSI|-3
P|R|29-SEP-2017|1|11|MISI|6.87
P|R|29-SEP-2017|1|11|MNSI|-1.02
P|R|29-SEP-2017|1|11|NYSI|-3
P|R|29-SEP-2017|1|11|ONZN|-3
P|R|29-SEP-2017|1|11|PQAT|-3
P|R|29-SEP-2017|1|11|PQBE|-3
P|R|29-SEP-2017|1|11|PQDA|-3
P|R|29-SEP-2017|1|11|PQDZ|-3
P|R|29-SEP-2017|1|11|PQHA|-3
P|R|29-SEP-2017|1|11|PQHZ|-3
P|R|29-SEP-2017|1|11|PQPC|-3
P|R|29-SEP-2017|1|11|PQQC|-3
P|R|29-SEP-2017|1|11|PQSK|-3
P|R|29-SEP-2017|1|11|PQXY|-3
P|R|29-SEP-2017|1|12|MBSI|-3
P|R|29-SEP-2017|1|12|MISI|6.87
P|R|29-SEP-2017|1|12|MNSI|-1.02
P|R|29-SEP-2017|1|12|NYSI|-3
P|R|29-SEP-2017|1|12|ONZN|-3
P|R|29-SEP-2017|1|12|PQAT|-3
P|R|29-SEP-2017|1|12|PQBE|-3
P|R|29-SEP-2017|1|12|PQDA|-3
P|R|29-SEP-2017|1|12|PQDZ|-3
P|R|29-SEP-2017|1|12|PQHA|-3
P|R|29-SEP-2017|1|12|PQHZ|-3
P|R|29-SEP-2017|1|12|PQPC|-3
P|R|29-SEP-2017|1|12|PQQC|-3
P|R|29-SEP-2017|1|12|PQSK|-3
P|R|29-SEP-2017|1|12|PQXY|-3
P|H|29-SEP-2017|2|0|ONZN|-.27
P|R|29-SEP-2017|2|1|MBSI|0
P|R|29-SEP-2017|2|1|MISI|12
P|R|29-SEP-2017|2|1|MNSI|.1
P|R|29-SEP-2017|2|1|NYSI|0
P|R|29-SEP-2017|2|1|ONZN|0
P|R|29-SEP-2017|2|1|PQAT|0
P|R|29-SEP-2017|2|1|PQBE|0
P|R|29-SEP-2017|2|1|PQDA|0
P|R|29-SEP-2017|2|1|PQDZ|0
P|R|29-SEP-2017|2|1|PQHA|0
P|R|29-SEP-2017|2|1|PQHZ|0
P|R|29-SEP-2017|2|1|PQPC|0
P|R|29-SEP-2017|2|1|PQQC|0
P|R|29-SEP-2017|2|1|PQSK|0
P|R|29-SEP-2017|2|1|PQXY|0
P|R|29-SEP-2017|2|2|MBSI|0
P|R|29-SEP-2017|2|2|MISI|12
P|R|29-SEP-2017|2|2|MNSI|.1
P|R|29-SEP-2017|2|2|NYSI|0
P|R|29-SEP-2017|2|2|ONZN|0
P|R|29-SEP-2017|2|2|PQAT|0
P|R|29-SEP-2017|2|2|PQBE|0
P|R|29-SEP-2017|2|2|PQDA|0
P|R|29-SEP-2017|2|2|PQDZ|0
P|R|29-SEP-2017|2|2|PQHA|0
P|R|29-SEP-2017|2|2|PQHZ|0
P|R|29-SEP-2017|2|2|PQPC|0
P|R|29-SEP-2017|2|2|PQQC|0
P|R|29-SEP-2017|2|2|PQSK|0
P|R|29-SEP-2017|2|2|PQXY|0
P|R|29-SEP-2017|2|3|MBSI|0
P|R|29-SEP-2017|2|3|MISI|12
P|R|29-SEP-2017|2|3|MNSI|.1
P|R|29-SEP-2017|2|3|NYSI|0
P|R|29-SEP-2017|2|3|ONZN|0
P|R|29-SEP-2017|2|3|PQAT|0
P|R|29-SEP-2017|2|3|PQBE|0
P|R|29-SEP-2017|2|3|PQDA|0
P|R|29-SEP-2017|2|3|PQDZ|0
P|R|29-SEP-2017|2|3|PQHA|0
P|R|29-SEP-2017|2|3|PQHZ|0
P|R|29-SEP-2017|2|3|PQPC|0
P|R|29-SEP-2017|2|3|PQQC|0
P|R|29-SEP-2017|2|3|PQSK|0
P|R|29-SEP-2017|2|3|PQXY|0
P|R|29-SEP-2017|2|4|MBSI|0
P|R|29-SEP-2017|2|4|MISI|12
P|R|29-SEP-2017|2|4|MNSI|.1
P|R|29-SEP-2017|2|4|NYSI|0
P|R|29-SEP-2017|2|4|ONZN|0
P|R|29-SEP-2017|2|4|PQAT|0
P|R|29-SEP-2017|2|4|PQBE|0
P|R|29-SEP-2017|2|4|PQDA|0
P|R|29-SEP-2017|2|4|PQDZ|0
P|R|29-SEP-2017|2|4|PQHA|0
P|R|29-SEP-2017|2|4|PQHZ|0
P|R|29-SEP-2017|2|4|PQPC|0
P|R|29-SEP-2017|2|4|PQQC|0
P|R|29-SEP-2017|2|4|PQSK|0
P|R|29-SEP-2017|2|4|PQXY|0
P|R|29-SEP-2017|2|5|MBSI|0
P|R|29-SEP-2017|2|5|MISI|12
P|R|29-SEP-2017|2|5|MNSI|.1
P|R|29-SEP-2017|2|5|NYSI|0
P|R|29-SEP-2017|2|5|ONZN|0
P|R|29-SEP-2017|2|5|PQAT|0
P|R|29-SEP-2017|2|5|PQBE|0
P|R|29-SEP-2017|2|5|PQDA|0
P|R|29-SEP-2017|2|5|PQDZ|0
P|R|29-SEP-2017|2|5|PQHA|0
P|R|29-SEP-2017|2|5|PQHZ|0
P|R|29-SEP-2017|2|5|PQPC|0
P|R|29-SEP-2017|2|5|PQQC|0
P|R|29-SEP-2017|2|5|PQSK|0
P|R|29-SEP-2017|2|5|PQXY|0
P|R|29-SEP-2017|2|6|MBSI|0
P|R|29-SEP-2017|2|6|MISI|12
P|R|29-SEP-2017|2|6|MNSI|.1
P|R|29-SEP-2017|2|6|NYSI|0
P|R|29-SEP-2017|2|6|ONZN|0
P|R|29-SEP-2017|2|6|PQAT|0
P|R|29-SEP-2017|2|6|PQBE|0
P|R|29-SEP-2017|2|6|PQDA|0
P|R|29-SEP-2017|2|6|PQDZ|0
P|R|29-SEP-2017|2|6|PQHA|0
P|R|29-SEP-2017|2|6|PQHZ|0
P|R|29-SEP-2017|2|6|PQPC|0
P|R|29-SEP-2017|2|6|PQQC|0
P|R|29-SEP-2017|2|6|PQSK|0
P|R|29-SEP-2017|2|6|PQXY|0
P|R|29-SEP-2017|2|7|MBSI|0
P|R|29-SEP-2017|2|7|MISI|12
P|R|29-SEP-2017|2|7|MNSI|.1
P|R|29-SEP-2017|2|7|NYSI|0
P|R|29-SEP-2017|2|7|ONZN|0
P|R|29-SEP-2017|2|7|PQAT|0
P|R|29-SEP-2017|2|7|PQBE|0
P|R|29-SEP-2017|2|7|PQDA|0
P|R|29-SEP-2017|2|7|PQDZ|0
P|R|29-SEP-2017|2|7|PQHA|0
P|R|29-SEP-2017|2|7|PQHZ|0
P|R|29-SEP-2017|2|7|PQPC|0
P|R|29-SEP-2017|2|7|PQQC|0
P|R|29-SEP-2017|2|7|PQSK|0
P|R|29-SEP-2017|2|7|PQXY|0
P|R|29-SEP-2017|2|8|MBSI|0
P|R|29-SEP-2017|2|8|MISI|12
P|R|29-SEP-2017|2|8|MNSI|.1
P|R|29-SEP-2017|2|8|NYSI|0
P|R|29-SEP-2017|2|8|ONZN|0
P|R|29-SEP-2017|2|8|PQAT|0
P|R|29-SEP-2017|2|8|PQBE|0
P|R|29-SEP-2017|2|8|PQDA|0
P|R|29-SEP-2017|2|8|PQDZ|0
P|R|29-SEP-2017|2|8|PQHA|0
P|R|29-SEP-2017|2|8|PQHZ|0
P|R|29-SEP-2017|2|8|PQPC|0
P|R|29-SEP-2017|2|8|PQQC|0
P|R|29-SEP-2017|2|8|PQSK|0
P|R|29-SEP-2017|2|8|PQXY|0
P|R|29-SEP-2017|2|9|MBSI|0
P|R|29-SEP-2017|2|9|MISI|12
P|R|29-SEP-2017|2|9|MNSI|.1
P|R|29-SEP-2017|2|9|NYSI|0
P|R|29-SEP-2017|2|9|ONZN|0
P|R|29-SEP-2017|2|9|PQAT|0
P|R|29-SEP-2017|2|9|PQBE|0
P|R|29-SEP-2017|2|9|PQDA|0
P|R|29-SEP-2017|2|9|PQDZ|0
P|R|29-SEP-2017|2|9|PQHA|0
P|R|29-SEP-2017|2|9|PQHZ|0
P|R|29-SEP-2017|2|9|PQPC|0
P|R|29-SEP-2017|2|9|PQQC|0
P|R|29-SEP-2017|2|9|PQSK|0
P|R|29-SEP-2017|2|9|PQXY|0
P|R|29-SEP-2017|2|10|MBSI|-.02
P|R|29-SEP-2017|2|10|MISI|11.98
P|R|29-SEP-2017|2|10|MNSI|.08
P|R|29-SEP-2017|2|10|NYSI|-.02
P|R|29-SEP-2017|2|10|ONZN|-.02
P|R|29-SEP-2017|2|10|PQAT|-.02
P|R|29-SEP-2017|2|10|PQBE|-.02
P|R|29-SEP-2017|2|10|PQDA|-.02
P|R|29-SEP-2017|2|10|PQDZ|-.02
P|R|29-SEP-2017|2|10|PQHA|-.02
P|R|29-SEP-2017|2|10|PQHZ|-.02
P|R|29-SEP-2017|2|10|PQPC|-.02
P|R|29-SEP-2017|2|10|PQQC|-.02
P|R|29-SEP-2017|2|10|PQSK|-.02
P|R|29-SEP-2017|2|10|PQXY|-.02
P|R|29-SEP-2017|2|11|MBSI|-3
P|R|29-SEP-2017|2|11|MISI|9
P|R|29-SEP-2017|2|11|MNSI|-2.9
P|R|29-SEP-2017|2|11|NYSI|-3
P|R|29-SEP-2017|2|11|ONZN|-3
P|R|29-SEP-2017|2|11|PQAT|-3
P|R|29-SEP-2017|2|11|PQBE|-3
P|R|29-SEP-2017|2|11|PQDA|-3
