H|182789|29-JUN-2017|1197218|DT|P|F
P|H|29-JUN-2017|1|0|ONZN|-4.5
P|R|29-JUN-2017|1|1|MBSI|-4.4
P|R|29-JUN-2017|1|1|MISI|19.19
P|R|29-JUN-2017|1|1|MNSI|21.2
P|R|29-JUN-2017|1|1|NYSI|23.2
P|R|29-JUN-2017|1|1|ONZN|-4.4
P|R|29-JUN-2017|1|1|PQAT|-4.4
P|R|29-JUN-2017|1|1|PQBE|-4.4
P|R|29-JUN-2017|1|1|PQDA|-4.4
P|R|29-JUN-2017|1|1|PQDZ|-4.4
P|R|29-JUN-2017|1|1|PQHA|-4.4
P|R|29-JUN-2017|1|1|PQHZ|-4.4
P|R|29-JUN-2017|1|1|PQPC|-4.4
P|R|29-JUN-2017|1|1|PQQC|-4.4
P|R|29-JUN-2017|1|1|PQSK|-4.4
P|R|29-JUN-2017|1|1|PQXY|-4.4
P|R|29-JUN-2017|1|2|MBSI|-4.4
P|R|29-JUN-2017|1|2|MISI|19.19
P|R|29-JUN-2017|1|2|MNSI|21.2
P|R|29-JUN-2017|1|2|NYSI|23.2
P|R|29-JUN-2017|1|2|ONZN|-4.4
P|R|29-JUN-2017|1|2|PQAT|-4.4
P|R|29-JUN-2017|1|2|PQBE|-4.4
P|R|29-JUN-2017|1|2|PQDA|-4.4
P|R|29-JUN-2017|1|2|PQDZ|-4.4
P|R|29-JUN-2017|1|2|PQHA|-4.4
P|R|29-JUN-2017|1|2|PQHZ|-4.4
P|R|29-JUN-2017|1|2|PQPC|-4.4
P|R|29-JUN-2017|1|2|PQQC|-4.4
P|R|29-JUN-2017|1|2|PQSK|-4.4
P|R|29-JUN-2017|1|2|PQXY|-4.4
P|R|29-JUN-2017|1|3|MBSI|-4.4
P|R|29-JUN-2017|1|3|MISI|19.19
P|R|29-JUN-2017|1|3|MNSI|21.2
P|R|29-JUN-2017|1|3|NYSI|23.2
P|R|29-JUN-2017|1|3|ONZN|-4.4
P|R|29-JUN-2017|1|3|PQAT|-4.4
P|R|29-JUN-2017|1|3|PQBE|-4.4
P|R|29-JUN-2017|1|3|PQDA|-4.4
P|R|29-JUN-2017|1|3|PQDZ|-4.4
P|R|29-JUN-2017|1|3|PQHA|-4.4
P|R|29-JUN-2017|1|3|PQHZ|-4.4
P|R|29-JUN-2017|1|3|PQPC|-4.4
P|R|29-JUN-2017|1|3|PQQC|-4.4
P|R|29-JUN-2017|1|3|PQSK|-4.4
P|R|29-JUN-2017|1|3|PQXY|-4.4
P|R|29-JUN-2017|1|4|MBSI|-4.4
P|R|29-JUN-2017|1|4|MISI|19.19
P|R|29-JUN-2017|1|4|MNSI|21.2
P|R|29-JUN-2017|1|4|NYSI|23.2
P|R|29-JUN-2017|1|4|ONZN|-4.4
P|R|29-JUN-2017|1|4|PQAT|-4.4
P|R|29-JUN-2017|1|4|PQBE|-4.4
P|R|29-JUN-2017|1|4|PQDA|-4.4
P|R|29-JUN-2017|1|4|PQDZ|-4.4
P|R|29-JUN-2017|1|4|PQHA|-4.4
P|R|29-JUN-2017|1|4|PQHZ|-4.4
P|R|29-JUN-2017|1|4|PQPC|-4.4
P|R|29-JUN-2017|1|4|PQQC|-4.4
P|R|29-JUN-2017|1|4|PQSK|-4.4
P|R|29-JUN-2017|1|4|PQXY|-4.4
P|R|29-JUN-2017|1|5|MBSI|-4.4
P|R|29-JUN-2017|1|5|MISI|19.19
P|R|29-JUN-2017|1|5|MNSI|21.2
P|R|29-JUN-2017|1|5|NYSI|23.2
P|R|29-JUN-2017|1|5|ONZN|-4.4
P|R|29-JUN-2017|1|5|PQAT|-4.4
P|R|29-JUN-2017|1|5|PQBE|-4.4
P|R|29-JUN-2017|1|5|PQDA|-4.4
P|R|29-JUN-2017|1|5|PQDZ|-4.4
P|R|29-JUN-2017|1|5|PQHA|-4.4
P|R|29-JUN-2017|1|5|PQHZ|-4.4
P|R|29-JUN-2017|1|5|PQPC|-4.4
P|R|29-JUN-2017|1|5|PQQC|-4.4
P|R|29-JUN-2017|1|5|PQSK|-4.4
P|R|29-JUN-2017|1|5|PQXY|-4.4
P|R|29-JUN-2017|1|6|MBSI|-4.4
P|R|29-JUN-2017|1|6|MISI|19.19
P|R|29-JUN-2017|1|6|MNSI|21.2
P|R|29-JUN-2017|1|6|NYSI|23.2
P|R|29-JUN-2017|1|6|ONZN|-4.4
P|R|29-JUN-2017|1|6|PQAT|-4.4
P|R|29-JUN-2017|1|6|PQBE|-4.4
P|R|29-JUN-2017|1|6|PQDA|-4.4
P|R|29-JUN-2017|1|6|PQDZ|-4.4
P|R|29-JUN-2017|1|6|PQHA|-4.4
P|R|29-JUN-2017|1|6|PQHZ|-4.4
P|R|29-JUN-2017|1|6|PQPC|-4.4
P|R|29-JUN-2017|1|6|PQQC|-4.4
P|R|29-JUN-2017|1|6|PQSK|-4.4
P|R|29-JUN-2017|1|6|PQXY|-4.4
P|R|29-JUN-2017|1|7|MBSI|-4.6
P|R|29-JUN-2017|1|7|MISI|18.99
P|R|29-JUN-2017|1|7|MNSI|21
P|R|29-JUN-2017|1|7|NYSI|23
P|R|29-JUN-2017|1|7|ONZN|-4.6
