H|182789|01-JUL-2017|1197785|DT|P|F
P|H|01-JUL-2017|1|0|ONZN|-1.68
P|R|01-JUL-2017|1|1|MBSI|0
P|R|01-JUL-2017|1|1|MISI|30.69
P|R|01-JUL-2017|1|1|MNSI|25.2
P|R|01-JUL-2017|1|1|NYSI|15.5
P|R|01-JUL-2017|1|1|ONZN|0
P|R|01-JUL-2017|1|1|PQAT|0
P|R|01-JUL-2017|1|1|PQBE|0
P|R|01-JUL-2017|1|1|PQDA|0
P|R|01-JUL-2017|1|1|PQDZ|0
P|R|01-JUL-2017|1|1|PQHA|0
P|R|01-JUL-2017|1|1|PQHZ|0
P|R|01-JUL-2017|1|1|PQPC|0
P|R|01-JUL-2017|1|1|PQQC|0
P|R|01-JUL-2017|1|1|PQSK|0
P|R|01-JUL-2017|1|1|PQXY|0
P|R|01-JUL-2017|1|2|MBSI|0
P|R|01-JUL-2017|1|2|MISI|30.69
P|R|01-JUL-2017|1|2|MNSI|25.2
P|R|01-JUL-2017|1|2|NYSI|15.5
P|R|01-JUL-2017|1|2|ONZN|0
P|R|01-JUL-2017|1|2|PQAT|0
P|R|01-JUL-2017|1|2|PQBE|0
P|R|01-JUL-2017|1|2|PQDA|0
P|R|01-JUL-2017|1|2|PQDZ|0
P|R|01-JUL-2017|1|2|PQHA|0
P|R|01-JUL-2017|1|2|PQHZ|0
P|R|01-JUL-2017|1|2|PQPC|0
P|R|01-JUL-2017|1|2|PQQC|0
P|R|01-JUL-2017|1|2|PQSK|0
P|R|01-JUL-2017|1|2|PQXY|0
P|R|01-JUL-2017|1|3|MBSI|0
P|R|01-JUL-2017|1|3|MISI|30.69
P|R|01-JUL-2017|1|3|MNSI|25.2
P|R|01-JUL-2017|1|3|NYSI|15.5
P|R|01-JUL-2017|1|3|ONZN|0
P|R|01-JUL-2017|1|3|PQAT|0
P|R|01-JUL-2017|1|3|PQBE|0
P|R|01-JUL-2017|1|3|PQDA|0
P|R|01-JUL-2017|1|3|PQDZ|0
P|R|01-JUL-2017|1|3|PQHA|0
P|R|01-JUL-2017|1|3|PQHZ|0
P|R|01-JUL-2017|1|3|PQPC|0
P|R|01-JUL-2017|1|3|PQQC|0
P|R|01-JUL-2017|1|3|PQSK|0
P|R|01-JUL-2017|1|3|PQXY|0
P|R|01-JUL-2017|1|4|MBSI|0
P|R|01-JUL-2017|1|4|MISI|30.69
P|R|01-JUL-2017|1|4|MNSI|25.2
P|R|01-JUL-2017|1|4|NYSI|15.5
P|R|01-JUL-2017|1|4|ONZN|0
P|R|01-JUL-2017|1|4|PQAT|0
P|R|01-JUL-2017|1|4|PQBE|0
P|R|01-JUL-2017|1|4|PQDA|0
P|R|01-JUL-2017|1|4|PQDZ|0
P|R|01-JUL-2017|1|4|PQHA|0
P|R|01-JUL-2017|1|4|PQHZ|0
P|R|01-JUL-2017|1|4|PQPC|0
P|R|01-JUL-2017|1|4|PQQC|0
P|R|01-JUL-2017|1|4|PQSK|0
P|R|01-JUL-2017|1|4|PQXY|0
P|R|01-JUL-2017|1|5|MBSI|-.02
P|R|01-JUL-2017|1|5|MISI|30.67
P|R|01-JUL-2017|1|5|MNSI|25.18
P|R|01-JUL-2017|1|5|NYSI|15.48
P|R|01-JUL-2017|1|5|ONZN|-.02
P|R|01-JUL-2017|1|5|PQAT|-.02
P|R|01-JUL-2017|1|5|PQBE|-.02
P|R|01-JUL-2017|1|5|PQDA|-.02
P|R|01-JUL-2017|1|5|PQDZ|-.02
P|R|01-JUL-2017|1|5|PQHA|-.02
P|R|01-JUL-2017|1|5|PQHZ|-.02
P|R|01-JUL-2017|1|5|PQPC|-.02
P|R|01-JUL-2017|1|5|PQQC|-.02
P|R|01-JUL-2017|1|5|PQSK|-.02
P|R|01-JUL-2017|1|5|PQXY|-.02
P|R|01-JUL-2017|1|6|MBSI|-.1
P|R|01-JUL-2017|1|6|MISI|30.59
P|R|01-JUL-2017|1|6|MNSI|25.1
P|R|01-JUL-2017|1|6|NYSI|15.4
P|R|01-JUL-2017|1|6|ONZN|-.1
P|R|01-JUL-2017|1|6|PQAT|-.1
P|R|01-JUL-2017|1|6|PQBE|-.1
P|R|01-JUL-2017|1|6|PQDA|-.1
P|R|01-JUL-2017|1|6|PQDZ|-.1
P|R|01-JUL-2017|1|6|PQHA|-.1
P|R|01-JUL-2017|1|6|PQHZ|-.1
P|R|01-JUL-2017|1|6|PQPC|-.1
P|R|01-JUL-2017|1|6|PQQC|-.1
P|R|01-JUL-2017|1|6|PQSK|-.1
P|R|01-JUL-2017|1|6|PQXY|-.1
P|R|01-JUL-2017|1|7|MBSI|-3
P|R|01-JUL-2017|1|7|MISI|27.69
P|R|01-JUL-2017|1|7|MNSI|22.2
P|R|01-JUL-2017|1|7|NYSI|12.5
P|R|01-JUL-2017|1|7|ONZN|-3
P|R|01-JUL-2017|1|7|PQAT|-3
P|R|01-JUL-2017|1|7|PQBE|-3
P|R|01-JUL-2017|1|7|PQDA|-3
P|R|01-JUL-2017|1|7|PQDZ|-3
P|R|01-JUL-2017|1|7|PQHA|-3
P|R|01-JUL-2017|1|7|PQHZ|-3
P|R|01-JUL-2017|1|7|PQPC|-3
P|R|01-JUL-2017|1|7|PQQC|-3
P|R|01-JUL-2017|1|7|PQSK|-3
P|R|01-JUL-2017|1|7|PQXY|-3
P|R|01-JUL-2017|1|8|MBSI|-3
P|R|01-JUL-2017|1|8|MISI|27.69
P|R|01-JUL-2017|1|8|MNSI|22.2
P|R|01-JUL-2017|1|8|NYSI|12.5
P|R|01-JUL-2017|1|8|ONZN|-3
P|R|01-JUL-2017|1|8|PQAT|-3
P|R|01-JUL-2017|1|8|PQBE|-3
P|R|01-JUL-2017|1|8|PQDA|-3
P|R|01-JUL-2017|1|8|PQDZ|-3
P|R|01-JUL-2017|1|8|PQHA|-3
P|R|01-JUL-2017|1|8|PQHZ|-3
P|R|01-JUL-2017|1|8|PQPC|-3
P|R|01-JUL-2017|1|8|PQQC|-3
P|R|01-JUL-2017|1|8|PQSK|-3
P|R|01-JUL-2017|1|8|PQXY|-3
P|R|01-JUL-2017|1|9|MBSI|-3
P|R|01-JUL-2017|1|9|MISI|27.69
P|R|01-JUL-2017|1|9|MNSI|22.2
P|R|01-JUL-2017|1|9|NYSI|12.5
P|R|01-JUL-2017|1|9|ONZN|-3
P|R|01-JUL-2017|1|9|PQAT|-3
P|R|01-JUL-2017|1|9|PQBE|-3
P|R|01-JUL-2017|1|9|PQDA|-3
P|R|01-JUL-2017|1|9|PQDZ|-3
P|R|01-JUL-2017|1|9|PQHA|-3
P|R|01-JUL-2017|1|9|PQHZ|-3
P|R|01-JUL-2017|1|9|PQPC|-3
P|R|01-JUL-2017|1|9|PQQC|-3
P|R|01-JUL-2017|1|9|PQSK|-3
P|R|01-JUL-2017|1|9|PQXY|-3
P|R|01-JUL-2017|1|10|MBSI|-3
P|R|01-JUL-2017|1|10|MISI|27.69
P|R|01-JUL-2017|1|10|MNSI|22.2
P|R|01-JUL-2017|1|10|NYSI|12.5
P|R|01-JUL-2017|1|10|ONZN|-3
P|R|01-JUL-2017|1|10|PQAT|-3
P|R|01-JUL-2017|1|10|PQBE|-3
P|R|01-JUL-2017|1|10|PQDA|-3
P|R|01-JUL-2017|1|10|PQDZ|-3
P|R|01-JUL-2017|1|10|PQHA|-3
P|R|01-JUL-2017|1|10|PQHZ|-3
P|R|01-JUL-2017|1|10|PQPC|-3
P|R|01-JUL-2017|1|10|PQQC|-3
P|R|01-JUL-2017|1|10|PQSK|-3
P|R|01-JUL-2017|1|10|PQXY|-3
P|R|01-JUL-2017|1|11|MBSI|-4
P|R|01-JUL-2017|1|11|MISI|26.69
P|R|01-JUL-2017|1|11|MNSI|21.2
P|R|01-JUL-2017|1|11|NYSI|11.5
P|R|01-JUL-2017|1|11|ONZN|-4
P|R|01-JUL-2017|1|11|PQAT|-4
P|R|01-JUL-2017|1|11|PQBE|-4
P|R|01-JUL-2017|1|11|PQDA|-4
P|R|01-JUL-2017|1|11|PQDZ|-4
P|R|01-JUL-2017|1|11|PQHA|-4
P|R|01-JUL-2017|1|11|PQHZ|-4
P|R|01-JUL-2017|1|11|PQPC|-4
P|R|01-JUL-2017|1|11|PQQC|-4
P|R|01-JUL-2017|1|11|PQSK|-4
P|R|01-JUL-2017|1|11|PQXY|-4
P|R|01-JUL-2017|1|12|MBSI|-4
P|R|01-JUL-2017|1|12|MISI|26.69
P|R|01-JUL-2017|1|12|MNSI|21.2
P|R|01-JUL-2017|1|12|NYSI|11.5
P|R|01-JUL-2017|1|12|ONZN|-4
P|R|01-JUL-2017|1|12|PQAT|-4
P|R|01-JUL-2017|1|12|PQBE|-4
P|R|01-JUL-2017|1|12|PQDA|-4
P|R|01-JUL-2017|1|12|PQDZ|-4
P|R|01-JUL-2017|1|12|PQHA|-4
P|R|01-JUL-2017|1|12|PQHZ|-4
P|R|01-JUL-2017|1|12|PQPC|-4
P|R|01-JUL-2017|1|12|PQQC|-4
P|R|01-JUL-2017|1|12|PQSK|-4
P|R|01-JUL-2017|1|12|PQXY|-4
P|H|01-JUL-2017|2|0|ONZN|-4.08
P|R|01-JUL-2017|2|1|MBSI|-4
P|R|01-JUL-2017|2|1|MISI|28.1
P|R|01-JUL-2017|2|1|MNSI|22.3
P|R|01-JUL-2017|2|1|NYSI|6.6
P|R|01-JUL-2017|2|1|ONZN|-4
P|R|01-JUL-2017|2|1|PQAT|-4
P|R|01-JUL-2017|2|1|PQBE|-4
P|R|01-JUL-2017|2|1|PQDA|-4
P|R|01-JUL-2017|2|1|PQDZ|-4
P|R|01-JUL-2017|2|1|PQHA|-4
P|R|01-JUL-2017|2|1|PQHZ|-4
P|R|01-JUL-2017|2|1|PQPC|-4
P|R|01-JUL-2017|2|1|PQQC|-4
P|R|01-JUL-2017|2|1|PQSK|-4
P|R|01-JUL-2017|2|1|PQXY|-4
P|R|01-JUL-2017|2|2|MBSI|-4
P|R|01-JUL-2017|2|2|MISI|28.1
P|R|01-JUL-2017|2|2|MNSI|22.3
P|R|01-JUL-2017|2|2|NYSI|6.6
P|R|01-JUL-2017|2|2|ONZN|-4
P|R|01-JUL-2017|2|2|PQAT|-4
P|R|01-JUL-2017|2|2|PQBE|-4
P|R|01-JUL-2017|2|2|PQDA|-4
P|R|01-JUL-2017|2|2|PQDZ|-4
P|R|01-JUL-2017|2|2|PQHA|-4
P|R|01-JUL-2017|2|2|PQHZ|-4
P|R|01-JUL-2017|2|2|PQPC|-4
P|R|01-JUL-2017|2|2|PQQC|-4
P|R|01-JUL-2017|2|2|PQSK|-4
P|R|01-JUL-2017|2|2|PQXY|-4
P|R|01-JUL-2017|2|3|MBSI|-4
P|R|01-JUL-2017|2|3|MISI|28.1
P|R|01-JUL-2017|2|3|MNSI|22.3
P|R|01-JUL-2017|2|3|NYSI|6.6
P|R|01-JUL-2017|2|3|ONZN|-4
P|R|01-JUL-2017|2|3|PQAT|-4
P|R|01-JUL-2017|2|3|PQBE|-4
P|R|01-JUL-2017|2|3|PQDA|-4
P|R|01-JUL-2017|2|3|PQDZ|-4
P|R|01-JUL-2017|2|3|PQHA|-4
P|R|01-JUL-2017|2|3|PQHZ|-4
P|R|01-JUL-2017|2|3|PQPC|-4
P|R|01-JUL-2017|2|3|PQQC|-4
P|R|01-JUL-2017|2|3|PQSK|-4
P|R|01-JUL-2017|2|3|PQXY|-4
P|R|01-JUL-2017|2|4|MBSI|-4.1
P|R|01-JUL-2017|2|4|MISI|28
P|R|01-JUL-2017|2|4|MNSI|22.2
P|R|01-JUL-2017|2|4|NYSI|6.5
P|R|01-JUL-2017|2|4|ONZN|-4.1
P|R|01-JUL-2017|2|4|PQAT|-4.1
P|R|01-JUL-2017|2|4|PQBE|-4.1
P|R|01-JUL-2017|2|4|PQDA|-4.1
P|R|01-JUL-2017|2|4|PQDZ|-4.1
