H|182789|26-SEP-2017|1219985|DT|P|F
P|H|26-SEP-2017|1|0|ONZN|30.13
P|R|26-SEP-2017|1|1|MBSI|42.23
P|R|26-SEP-2017|1|1|MISI|44.14
P|R|26-SEP-2017|1|1|MNSI|42.23
P|R|26-SEP-2017|1|1|NYSI|42.23
P|R|26-SEP-2017|1|1|ONZN|42.23
P|R|26-SEP-2017|1|1|PQAT|42.23
P|R|26-SEP-2017|1|1|PQBE|42.23
P|R|26-SEP-2017|1|1|PQDA|42.23
P|R|26-SEP-2017|1|1|PQDZ|42.23
P|R|26-SEP-2017|1|1|PQHA|42.23
P|R|26-SEP-2017|1|1|PQHZ|42.23
P|R|26-SEP-2017|1|1|PQPC|42.23
P|R|26-SEP-2017|1|1|PQQC|42.23
P|R|26-SEP-2017|1|1|PQSK|42.23
P|R|26-SEP-2017|1|1|PQXY|42.23
P|R|26-SEP-2017|1|2|MBSI|32.25
P|R|26-SEP-2017|1|2|MISI|34.16
P|R|26-SEP-2017|1|2|MNSI|32.25
P|R|26-SEP-2017|1|2|NYSI|32.25
P|R|26-SEP-2017|1|2|ONZN|32.25
P|R|26-SEP-2017|1|2|PQAT|32.25
P|R|26-SEP-2017|1|2|PQBE|32.25
P|R|26-SEP-2017|1|2|PQDA|32.25
P|R|26-SEP-2017|1|2|PQDZ|32.25
P|R|26-SEP-2017|1|2|PQHA|32.25
P|R|26-SEP-2017|1|2|PQHZ|32.25
P|R|26-SEP-2017|1|2|PQPC|32.25
P|R|26-SEP-2017|1|2|PQQC|32.25
P|R|26-SEP-2017|1|2|PQSK|32.25
P|R|26-SEP-2017|1|2|PQXY|32.25
P|R|26-SEP-2017|1|3|MBSI|30.16
P|R|26-SEP-2017|1|3|MISI|32.07
P|R|26-SEP-2017|1|3|MNSI|30.16
P|R|26-SEP-2017|1|3|NYSI|30.16
P|R|26-SEP-2017|1|3|ONZN|30.16
P|R|26-SEP-2017|1|3|PQAT|30.16
P|R|26-SEP-2017|1|3|PQBE|30.16
P|R|26-SEP-2017|1|3|PQDA|30.16
P|R|26-SEP-2017|1|3|PQDZ|30.16
P|R|26-SEP-2017|1|3|PQHA|30.16
P|R|26-SEP-2017|1|3|PQHZ|30.16
P|R|26-SEP-2017|1|3|PQPC|30.16
P|R|26-SEP-2017|1|3|PQQC|30.16
P|R|26-SEP-2017|1|3|PQSK|30.16
P|R|26-SEP-2017|1|3|PQXY|30.16
P|R|26-SEP-2017|1|4|MBSI|30.16
P|R|26-SEP-2017|1|4|MISI|32.07
P|R|26-SEP-2017|1|4|MNSI|30.16
P|R|26-SEP-2017|1|4|NYSI|30.16
P|R|26-SEP-2017|1|4|ONZN|30.16
P|R|26-SEP-2017|1|4|PQAT|30.16
P|R|26-SEP-2017|1|4|PQBE|30.16
P|R|26-SEP-2017|1|4|PQDA|30.16
P|R|26-SEP-2017|1|4|PQDZ|30.16
P|R|26-SEP-2017|1|4|PQHA|30.16
P|R|26-SEP-2017|1|4|PQHZ|30.16
P|R|26-SEP-2017|1|4|PQPC|30.16
P|R|26-SEP-2017|1|4|PQQC|30.16
P|R|26-SEP-2017|1|4|PQSK|30.16
P|R|26-SEP-2017|1|4|PQXY|30.16
P|R|26-SEP-2017|1|5|MBSI|30.16
P|R|26-SEP-2017|1|5|MISI|32.07
P|R|26-SEP-2017|1|5|MNSI|30.16
P|R|26-SEP-2017|1|5|NYSI|30.16
P|R|26-SEP-2017|1|5|ONZN|30.16
P|R|26-SEP-2017|1|5|PQAT|30.16
P|R|26-SEP-2017|1|5|PQBE|30.16
P|R|26-SEP-2017|1|5|PQDA|30.16
P|R|26-SEP-2017|1|5|PQDZ|30.16
P|R|26-SEP-2017|1|5|PQHA|30.16
P|R|26-SEP-2017|1|5|PQHZ|30.16
P|R|26-SEP-2017|1|5|PQPC|30.16
P|R|26-SEP-2017|1|5|PQQC|30.16
P|R|26-SEP-2017|1|5|PQSK|30.16
P|R|26-SEP-2017|1|5|PQXY|30.16
P|R|26-SEP-2017|1|6|MBSI|28.09
P|R|26-SEP-2017|1|6|MISI|30
P|R|26-SEP-2017|1|6|MNSI|28.09
P|R|26-SEP-2017|1|6|NYSI|28.09
P|R|26-SEP-2017|1|6|ONZN|28.09
P|R|26-SEP-2017|1|6|PQAT|28.09
P|R|26-SEP-2017|1|6|PQBE|28.09
P|R|26-SEP-2017|1|6|PQDA|28.09
P|R|26-SEP-2017|1|6|PQDZ|28.09
P|R|26-SEP-2017|1|6|PQHA|28.09
P|R|26-SEP-2017|1|6|PQHZ|28.09
P|R|26-SEP-2017|1|6|PQPC|28.09
P|R|26-SEP-2017|1|6|PQQC|28.09
P|R|26-SEP-2017|1|6|PQSK|28.09
P|R|26-SEP-2017|1|6|PQXY|28.09
P|R|26-SEP-2017|1|7|MBSI|28.09
P|R|26-SEP-2017|1|7|MISI|30
P|R|26-SEP-2017|1|7|MNSI|28.09
P|R|26-SEP-2017|1|7|NYSI|28.09
P|R|26-SEP-2017|1|7|ONZN|28.09
P|R|26-SEP-2017|1|7|PQAT|28.09
P|R|26-SEP-2017|1|7|PQBE|28.09
P|R|26-SEP-2017|1|7|PQDA|28.09
P|R|26-SEP-2017|1|7|PQDZ|28.09
P|R|26-SEP-2017|1|7|PQHA|28.09
P|R|26-SEP-2017|1|7|PQHZ|28.09
P|R|26-SEP-2017|1|7|PQPC|28.09
P|R|26-SEP-2017|1|7|PQQC|28.09
P|R|26-SEP-2017|1|7|PQSK|28.09
P|R|26-SEP-2017|1|7|PQXY|28.09
P|R|26-SEP-2017|1|8|MBSI|28.09
P|R|26-SEP-2017|1|8|MISI|30
P|R|26-SEP-2017|1|8|MNSI|28.09
P|R|26-SEP-2017|1|8|NYSI|28.09
P|R|26-SEP-2017|1|8|ONZN|28.09
