H|182789|04-JUL-2017|1198552|DT|P|F
P|R|04-JUL-2017|1|4|PQXY|-4.4
P|R|04-JUL-2017|1|5|MBSI|-4.4
P|R|04-JUL-2017|1|5|MISI|22.15
P|R|04-JUL-2017|1|5|MNSI|18.9
P|R|04-JUL-2017|1|5|NYSI|12.4
P|R|04-JUL-2017|1|5|ONZN|-4.4
P|R|04-JUL-2017|1|5|PQAT|-4.4
P|R|04-JUL-2017|1|5|PQBE|-4.4
P|R|04-JUL-2017|1|5|PQDA|-4.4
P|R|04-JUL-2017|1|5|PQDZ|-4.4
P|R|04-JUL-2017|1|5|PQHA|-4.4
P|R|04-JUL-2017|1|5|PQHZ|-4.4
P|R|04-JUL-2017|1|5|PQPC|-4.4
P|R|04-JUL-2017|1|5|PQQC|-4.4
P|R|04-JUL-2017|1|5|PQSK|-4.4
P|R|04-JUL-2017|1|5|PQXY|-4.4
P|R|04-JUL-2017|1|6|MBSI|-4.4
P|R|04-JUL-2017|1|6|MISI|22.15
P|R|04-JUL-2017|1|6|MNSI|18.9
P|R|04-JUL-2017|1|6|NYSI|12.4
P|R|04-JUL-2017|1|6|ONZN|-4.4
P|R|04-JUL-2017|1|6|PQAT|-4.4
P|R|04-JUL-2017|1|6|PQBE|-4.4
P|R|04-JUL-2017|1|6|PQDA|-4.4
P|R|04-JUL-2017|1|6|PQDZ|-4.4
P|R|04-JUL-2017|1|6|PQHA|-4.4
P|R|04-JUL-2017|1|6|PQHZ|-4.4
P|R|04-JUL-2017|1|6|PQPC|-4.4
P|R|04-JUL-2017|1|6|PQQC|-4.4
P|R|04-JUL-2017|1|6|PQSK|-4.4
P|R|04-JUL-2017|1|6|PQXY|-4.4
P|R|04-JUL-2017|1|7|MBSI|-4.4
P|R|04-JUL-2017|1|7|MISI|22.15
P|R|04-JUL-2017|1|7|MNSI|18.9
P|R|04-JUL-2017|1|7|NYSI|12.4
P|R|04-JUL-2017|1|7|ONZN|-4.4
P|R|04-JUL-2017|1|7|PQAT|-4.4
P|R|04-JUL-2017|1|7|PQBE|-4.4
P|R|04-JUL-2017|1|7|PQDA|-4.4
P|R|04-JUL-2017|1|7|PQDZ|-4.4
P|R|04-JUL-2017|1|7|PQHA|-4.4
P|R|04-JUL-2017|1|7|PQHZ|-4.4
P|R|04-JUL-2017|1|7|PQPC|-4.4
P|R|04-JUL-2017|1|7|PQQC|-4.4
P|R|04-JUL-2017|1|7|PQSK|-4.4
