H|182789|27-JUN-2017|1196707|DT|P|F
P|H|27-JUN-2017|1|0|ONZN|-4.26
P|R|27-JUN-2017|1|1|MBSI|-4.1
P|R|27-JUN-2017|1|1|MISI|18.95
P|R|27-JUN-2017|1|1|MNSI|15.55
P|R|27-JUN-2017|1|1|NYSI|14.9
P|R|27-JUN-2017|1|1|ONZN|-4.1
P|R|27-JUN-2017|1|1|PQAT|-4.1
P|R|27-JUN-2017|1|1|PQBE|-4.1
P|R|27-JUN-2017|1|1|PQDA|-4.1
P|R|27-JUN-2017|1|1|PQDZ|-4.1
P|R|27-JUN-2017|1|1|PQHA|-4.1
P|R|27-JUN-2017|1|1|PQHZ|-4.1
P|R|27-JUN-2017|1|1|PQPC|-4.1
P|R|27-JUN-2017|1|1|PQQC|-4.1
P|R|27-JUN-2017|1|1|PQSK|-4.1
P|R|27-JUN-2017|1|1|PQXY|-4.1
P|R|27-JUN-2017|1|2|MBSI|-4.1
P|R|27-JUN-2017|1|2|MISI|18.95
P|R|27-JUN-2017|1|2|MNSI|15.55
P|R|27-JUN-2017|1|2|NYSI|14.9
P|R|27-JUN-2017|1|2|ONZN|-4.1
P|R|27-JUN-2017|1|2|PQAT|-4.1
P|R|27-JUN-2017|1|2|PQBE|-4.1
P|R|27-JUN-2017|1|2|PQDA|-4.1
P|R|27-JUN-2017|1|2|PQDZ|-4.1
P|R|27-JUN-2017|1|2|PQHA|-4.1
P|R|27-JUN-2017|1|2|PQHZ|-4.1
P|R|27-JUN-2017|1|2|PQPC|-4.1
P|R|27-JUN-2017|1|2|PQQC|-4.1
P|R|27-JUN-2017|1|2|PQSK|-4.1
P|R|27-JUN-2017|1|2|PQXY|-4.1
P|R|27-JUN-2017|1|3|MBSI|-4.1
P|R|27-JUN-2017|1|3|MISI|18.95
P|R|27-JUN-2017|1|3|MNSI|15.55
P|R|27-JUN-2017|1|3|NYSI|14.9
P|R|27-JUN-2017|1|3|ONZN|-4.1
P|R|27-JUN-2017|1|3|PQAT|-4.1
P|R|27-JUN-2017|1|3|PQBE|-4.1
P|R|27-JUN-2017|1|3|PQDA|-4.1
P|R|27-JUN-2017|1|3|PQDZ|-4.1
P|R|27-JUN-2017|1|3|PQHA|-4.1
P|R|27-JUN-2017|1|3|PQHZ|-4.1
P|R|27-JUN-2017|1|3|PQPC|-4.1
P|R|27-JUN-2017|1|3|PQQC|-4.1
P|R|27-JUN-2017|1|3|PQSK|-4.1
P|R|27-JUN-2017|1|3|PQXY|-4.1
P|R|27-JUN-2017|1|4|MBSI|-4.2
P|R|27-JUN-2017|1|4|MISI|18.85
P|R|27-JUN-2017|1|4|MNSI|15.45
P|R|27-JUN-2017|1|4|NYSI|14.8
P|R|27-JUN-2017|1|4|ONZN|-4.2
P|R|27-JUN-2017|1|4|PQAT|-4.2
P|R|27-JUN-2017|1|4|PQBE|-4.2
P|R|27-JUN-2017|1|4|PQDA|-4.2
P|R|27-JUN-2017|1|4|PQDZ|-4.2
P|R|27-JUN-2017|1|4|PQHA|-4.2
P|R|27-JUN-2017|1|4|PQHZ|-4.2
P|R|27-JUN-2017|1|4|PQPC|-4.2
P|R|27-JUN-2017|1|4|PQQC|-4.2
P|R|27-JUN-2017|1|4|PQSK|-4.2
P|R|27-JUN-2017|1|4|PQXY|-4.2
P|R|27-JUN-2017|1|5|MBSI|-4.2
P|R|27-JUN-2017|1|5|MISI|18.85
